ccn,hospital_name,state,previous_status,disposition,issue,next_step,pointer_url,pointer_status,pointer_checked_at,pointer_declared_url,mrf_url,mrf_status,mrf_final_url,identity,identity_basis,header_name,header_location,header_state,date,version,metadata,file_checked_at,pointer_sha256,file_sha256,adjudicated,note
010007,MIZELL MEMORIAL HOSPITAL,AL,metadata-or-pointer-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,https://mizellmh.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8000 milliseconds
",2026-09-09T10:37:12.083Z,,,,,,,,,,,,,,,,,All recorded file leads failed at transport level again this run (reproducible connection failure).
010012,DEKALB REGIONAL MEDICAL CENTER,AL,pointer-or-domain-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,https://dekalbregional.com/cms-hpt.txt,206,2026-09-09T10:06:32.663Z,,,,,,,,,,,,,,c7530acbdf1ba9d9ad435d77bc2a06fd501e0fcfc40eb43285c8ef52d44c8298,,,All recorded file leads failed at transport level again this run (reproducible connection failure).
010019,HELEN KELLER HOSPITAL,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://helenkeller.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8013 milliseconds
",2026-09-09T11:41:14.181Z,,,,,,,,,,,,,,,,,
010023,BAPTIST MEDICAL CENTER SOUTH,AL,identity-quarantined,unresolved,,Facility identity adjudication against the roster before any pointer or file work,https://www.baptistjax.com/cms-hpt.txt,206,2026-09-09T10:06:44.194Z,,https://baptistjacksonville.pt.panaceainc.com/MRFDownload/baptistjacksonville/baptistsouth,200,https://mrf.panaceainc.com/Download.aspx?org=baptistjacksonville&loc=baptistsouth&ref=,mrf-header-does-not-match-unresolved-roster,,"Southern Baptist Hospital of Florida, INC",Baptist Medical Center South,FL,2026-02-06,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:46.574Z,f93cbf3196c50cd50db7023669783b2758ec59a99517abeb54f8e942c07a68c1,31d948a77e84980d1759402203ddd253b9cdb6e4282898c165ffe40f09d15ac7,,
010034,COMMUNITY HOSPITAL INC,AL,pointer-or-domain-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,,,,,,,,,,,,,,,,,,,,
010036,ANDALUSIA HEALTH,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://andalusiahealth.com/cms-hpt.txt,406,2026-09-09T11:40:09.411Z,,,,,,,,,,,,,,,,,
010045,FAYETTE MEDICAL CENTER,AL,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://dchsystem.com/cms-hpt.txt,"curl: (28) Operation timed out after 11793 milliseconds with 0 bytes received
",2026-09-09T10:37:15.933Z,,https://dch.pt.panaceainc.com/MRFDownload/dch/fayette,200,https://mrf.panaceainc.com/Download.aspx?org=dch&loc=fayette&ref=,mrf-header-name-without-location,,Fayette Medical Center,Fayette Medical Center,AL,2026-03-26,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:47.273Z,,32ef049a1fc5fae10a0c356f8e28adcae93123a663f4e6a7e10f9f8c80b56b22,,
010061,HIGHLANDS MEDICAL CENTER,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://highlandsmedcenter.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8012 milliseconds
",2026-09-09T11:40:17.229Z,,,,,,,,,,,,,,,,,
010065,RUSSELL MEDICAL CENTER,AL,metadata-or-pointer-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",,,,,https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv,206,https://rm.121cms.com/wp-content/uploads/630385130_russell-medical-center__standardcharges-1-1.csv,corroborated,file-name-and-address,Russell Medical Center,Russell Medical Center,AL,2025-06-15,2.0.0,date-over-365-days,2026-09-09T11:27:59.220Z,,bd70f4ef20ddc1c48860505ac8c2c987376954cedb2211a8ab289de8eb6762f2,,Same declared date 2025-06-15 observed again after the earlier check (2026-09-09T02:25:17.220Z).
010073,CLAY COUNTY HOSPITAL,AL,identity-or-format-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,https://www.claycountyhospital.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8010 milliseconds
",2026-09-09T10:37:12.249Z,,,,,,,,,,,,,,,,,All recorded file leads failed at transport level again this run (reproducible connection failure).
010079,ATHENS LIMESTONE HOSPITAL,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://athenslimestonehospital.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8013 milliseconds
",2026-09-09T11:41:14.837Z,,,,,,,,,,,,,,,,,
010083,BALDWIN HEALTH,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://infirmaryhealth.org/cms-hpt.txt,"curl: (28) Operation timed out after 11746 milliseconds with 0 bytes received
",2026-09-09T11:40:21.059Z,,https://www.infirmaryhealth.org/documents/price%20transparency%20files/203713023_Infirmary-Long-Term-Acute-Care-Hospital_standardcharges(1).csv,206,https://www.infirmaryhealth.org/documents/price%20transparency%20files/203713023_Infirmary-Long-Term-Acute-Care-Hospital_standardcharges(1).csv,mrf-header-does-not-match-unresolved-roster,,Infirmary Health Long Term Acute Care,Infirmary Health Long Term Acute Care,AL,2026-08-28,3.0.0,date-within-365-days-version-3,2026-09-09T12:40:26.672Z,,49cac98a3ebcec7387fba28b4eba0cbcbe5d88839fac63e370585eb3c5f55b93,,
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://decaturmorganhospital.net/cms-hpt.txt,"curl: (28) Resolving timed out after 8009 milliseconds
",2026-09-09T11:41:15.227Z,,,,,,,,,,,,,,,,,
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,publisher-date-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,https://dwmmh.org/cms-hpt.txt,"curl: (28) Resolving timed out after 8009 milliseconds
",2026-09-09T10:37:12.267Z,,,,,,,,,,,,,,,,,All recorded file leads failed at transport level again this run (reproducible connection failure).
010112,WHITFIELD REGIONAL HOSPITAL,AL,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",,,,,https://whitfield.pt.panaceainc.com/MRFDownload/whitfield/whitfield,200,https://mrf.panaceainc.com/Download.aspx?org=whitfield&loc=whitfield&ref=,corroborated,file-name-and-address,TOMBIGBEE HEALTHCARE AUTHORITY,Whitfield Regional Hospital | Fitz-Gerald Clinic | Linden Clinic,AL,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T10:37:05.996Z,,bb2d0dd5268bf4e8b0738aa889ef82a45199afd745899e1e3fa5d77b63530aeb,,
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://vaughanregional.com/cms-hpt.txt,406,2026-09-09T11:40:14.740Z,,,,,,,,,,,,,,,,,
010126,TROY REGIONAL MEDICAL CENTER,AL,metadata-or-pointer-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://troymedicalcenter.com/cms-hpt.txt,206,2026-09-09T10:37:04.545Z,,https://troymedicalcenter.com/wp-content/uploads/2026/03/271534178_Troy-Regional-Medical-Center_standardcharges.csv,206,https://troymedicalcenter.com/wp-content/uploads/2026/03/271534178_Troy-Regional-Medical-Center_standardcharges.csv,corroborated,file-name-and-address,Troy Regional Medical Center,Troy Regional Medical Center,AL,2025-12-31,3.0.0,date-within-365-days-version-3,2026-09-09T10:37:15.585Z,444932a2a339909ec8620cc1272e21fc965c7aa8711541a64e53f44a5f452d99,39352650544fe0eaddab10e928cf3358e278cb0d0b09870229dfc2b46aa52cdd,,
010131,CRESTWOOD MEDICAL CENTER,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://crestwoodmedcenter.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8012 milliseconds
",2026-09-09T11:40:27.028Z,,,,,,,,,,,,,,,,,
010148,EVERGREEN MEDICAL CENTER,AL,pointer-or-domain-review,publisher-issue,declared-update-date-over-365-days,"Publisher inquiry with the recorded file URL, declared date and response hash; recheck after their update window",https://www.evergreenmedical.org/cms-hpt.txt,200,2026-09-09T10:37:04.835Z,,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv,206,https://irp.cdn-website.com/1a9867e2/files/uploaded/208057151_evergreenmedicalcenter_standardcharges-8969ef83.csv,corroborated,file-name-and-address,Evergreen Medical Center,Evergreen Medical Center,AL,2025-08-07,2.0.0,date-over-365-days,2026-09-09T16:08:59.999Z,b135a2161192edf3fb79aa4ed0c8fdbab5137c202a78887a0cd081289bc8f5f8,0cac46895c4ace88ac3208e511c6261e2e88159794f3e8b7e888a0dd824a19fe,,Declared date over 365 days at check time.
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.rmcca.com/cms-hpt.txt,"curl: (28) Operation timed out after 12012 milliseconds with 0 bytes received
",2026-09-09T10:37:28.821Z,,https://www.rmcca.com/Uploads/Public/Documents/822445000_the-health-care-authority-of-city-of-greenville---lv-stabler_standardcharges.csv,206,https://www.rmcca.com/Uploads/Public/Documents/822445000_the-health-care-authority-of-city-of-greenville---lv-stabler_standardcharges.csv,mrf-header-name-without-location,,The Health Care Authority Of The City Of Greenville - LV Sta,Regional Medical Center of Central Alabama,AL,2025-08-22,2.0.0,date-over-365-days,2026-09-09T10:06:34.284Z,,4e05e8fa94ca3bc6551555b0006c164e81efefd34be8a5c0045946189cdf0c7a,,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,identity-or-format-review,publisher-issue,pointer-declared-file-404,Publisher inquiry to restore or replace the declared file; recheck after their update window,https://al.hughston.com/cms-hpt.txt,206,2026-09-09T10:37:14.918Z,,https://al.hughston.com/wp-content/uploads/sites/8/2024/02/331058243_jack-hughston-memorial-hospital_standardcharges.json,404,,,,,,,,,,2026-09-09T10:06:32.689Z,936c4bfd9a48cfb9ceb22db0232df2b72e2d64f3e2d78a498acff9dd5c3b8eba,,,The official pointer declares this file URL and it returns 404 on repeated checks; reproducible broken link.
010169,ATMORE COMMUNITY HOSPITAL,AL,publisher-date-review,unresolved,,Browser download attempt on the recorded file URL; a failed automated request is not evidence the file is absent,https://atmorehealth.org/cms-hpt.txt,"curl: (28) Resolving timed out after 8010 milliseconds
",2026-09-09T10:37:32.181Z,,,,,,,,,,,,,,,,,All recorded file leads failed at transport level again this run (reproducible connection failure).
011302,RED BAY HOSPITAL,AL,pointer-or-domain-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://healthy.kaiserpermanente.org/cms-hpt.txt,206,2026-09-09T10:37:15.974Z,,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-south-bay-medical-center-standard-charges-scal-en.csv,206,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/health-plan-documents/coverage-information/machine-readable/941105628-south-bay-medical-center-standard-charges-scal-en.csv,mrf-header-name-without-location,,KAISER FOUNDATION HOSPITAL - SOUTH BAY,SOUTH BAY MEDICAL CENTER ,CA,2026-04-01,3.0.1,date-within-365-days-version-3,2026-09-09T10:06:47.390Z,20b21852c655782bc52846ecf107d6016be730c415782f281079763e145eb5b8,14bb89b569c1468977a190cd27d8205831f79eb3d8c5be3b2563a9df73ce006a,,
011304,OCHSNER CHOCTAW GENERAL,AL,identity-or-format-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.ochsner.org/cms-hpt.txt,206,2026-09-09T11:36:46.164Z,,https://ochsner-craft.s3.amazonaws.com/core/640655993_rush-hospitalbutler-inc._standardcharges.csv_2026-03-26-185915_vatb.csv,206,https://ochsner-craft.s3.amazonaws.com/core/640655993_rush-hospitalbutler-inc._standardcharges.csv_2026-03-26-185915_vatb.csv,mrf-header-does-not-match-unresolved-roster,,"Rush Hospital/Butler, Inc.",Ochsner Choctaw General Hospital,LA,2026-04-01,3.0.0,date-within-365-days-version-3,2026-09-09T10:06:46.543Z,15fe42c1275ca42c1611e524231948f78cf03843eacc03759c1a500459d65477,f773b55bcf88ca0d132af70af7d642f2330d2fe4a590c44f32d6d73ff1bc83f2,,
011308,CRENSHAW COMMUNITY HOSPITAL,AL,metadata-or-pointer-review,publisher-issue,template-version-older-than-3,Publisher inquiry about the declared template version; recheck after their update window,https://crenshawcommunityhospital.com/wp-content/uploads/2025/11/cms-hpt.txt,206,2026-09-09T10:37:16.188Z,,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,206,https://crenshawcommunityhospital.com/wp-content/uploads/2025/10/000817582_crenshaw-community-hospital_standardcharges-2.csv,corroborated,file-name-and-address,Crenshaw County Health Care Authority,Crenshaw Community Hospital,AL,2025-10-13,2.0.0,date-within-365-days-older-version,2026-09-09T10:07:02.341Z,dbf519d804660181484db4984da481bae0dd67daee289df1f2bede92ae5d2e3d,d47780b91e7d429f0af10d59abe0e649c37612991a3b21da2552440dcf3e9a06,,Declared version 2.0.0 with a current date; publisher has not adopted the current CMS dictionary.
011311,LAKELAND COMMUNITY HOSPITAL,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://lakelandcommunityhospital.com/cms-hpt.txt,"curl: (28) Resolving timed out after 8000 milliseconds
",2026-09-09T11:40:33.730Z,,,,,,,,,,,,,,,,,
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,AL,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://hillcrestbhs.com/cms-hpt.txt,"curl: (28) Operation timed out after 10497 milliseconds with 0 bytes received
",2026-09-09T11:41:18.237Z,,,,,,,,,,,,,,,,,
014006,MOUNTAIN VIEW HOSPITAL,AL,identity-or-format-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.mtnviewhospital.com/cms-hpt.txt,206,2026-09-09T10:37:16.650Z,,https://www.mtnviewhospital.com/transparency/631050236_mountain-view-hospital_standardcharges.csv,206,https://www.mtnviewhospital.com/transparency/631050236_mountain-view-hospital_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,,MountainView Hospital,MountainView Hospital,AL,2024-12-04,2.0.0,date-over-365-days,2026-09-09T10:37:16.110Z,e687184df799271a558b814f2e4473394f49077d7fa0777daac5ff4d545ec613,c3ff89002f2e6fef28f56980c3e36256fba77243034b2bd8a03294f11e39f903,,
014015,BEACON CHILDREN'S HOSPITAL,AL,identity-or-format-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://www.perimeterhealthcare.com/cms-hpt.txt,206,2026-09-09T10:37:17.094Z,,https://www.perimeterhealthcare.com/beacon/201643917_Professional-Resources-Management-Psychiatric-Services_standardcharges.csv,206,https://www.perimeterhealthcare.com/beacon/201643917_Professional-Resources-Management-Psychiatric-Services_standardcharges.csv,mrf-header-does-not-match-unresolved-roster,,"Professional Resources Management Psychiatric Services, LLC",Luverne AL,AL,2025-11-20,2.0.0,date-within-365-days-older-version,2026-09-09T10:37:16.745Z,ee339fa3be5664792d2aae80ab360711cdb1f4556df0c5511401e28ce42f2656,034ff2a3b02e7c684544b3d5527baab707ef8d25506051804e3323363d934888,,
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://searhc.org/cms-hpt.txt,"curl: (28) Resolving timed out after 8006 milliseconds
",2026-09-09T11:40:34.843Z,,,,,,,,,,,,,,,,,
021310,MANIILAQ HEALTH CENTER,AK,identity-or-format-review,unresolved,,"Compare the parsed header against facility aliases, renames and campus entries; extend the capped read only if metadata may sit beyond it",https://maniilaq.mdsave.com/cms-hpt.txt,206,2026-09-09T10:37:16.935Z,,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,206,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,mrf-header-has-no-license-state,,,,,,,date-unverified,2026-09-09T10:06:55.464Z,1dbdaa071059148dec0c8b8c41e72c5dd23627c74fdad6c69e3f74f317a74d6b,b441d999a0073300f122c863aa6d96274190cecdaa7d6ecd4f4cc467f385ee71,,
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,pointer-or-domain-review,unresolved,,Official-domain discovery: confirm the roster facility controls a domain exposing cms-hpt.txt before assigning it,https://www.peacehealth.org/cms-hpt.txt,403,2026-09-09T11:38:32.774Z,,,,,,,,,,,,,,,,,
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,pointer-or-domain-review,unresolved,lead-domain-names-facility-no-pointer,Browser pricing-page walk on the named domain to locate the pointer or its replacement,https://arcticslope.org/cms-hpt.txt,"curl: (28) Resolving timed out after 8000 milliseconds
",2026-09-09T11:40:36.186Z,,,,,,,,,,,,,,,,,Lead domain https://arcticslope.org/ names the facility on its homepage but serves no readable cms-hpt.txt at the standard location; homepage evidence retained.
